,company_id,quarter,P,EPS,D/E,SIZE
4080,SBT,2022-10-01,-0.3668284829113779,-0.09246722086505414,0.16878259930681674,1.6600360846468372
4081,SBT,2023-01-01,-0.347858042549463,-0.09246721404202113,0.16902790160268918,1.6756912413639082
4082,SBT,2023-04-01,-0.31101367175732764,-0.09246721799857283,0.23371968593970407,1.7412675935827417
4083,SBT,2023-07-01,-0.2902508320355173,-0.09246721464761577,0.21744405496737285,1.7423962240908815
4084,SBT,2023-10-01,-0.3269111274129759,-0.09246721585880507,0.2259540410611826,1.7401618962613037
4085,SBT,2024-01-01,-0.34300497555878634,-0.09246721400164815,0.2524872765744857,1.7455364742011499
4086,SBT,2024-04-01,-0.3710654885677783,-0.09246721428425898,0.2748235019558476,1.7380191558527422
4087,SBT,2024-07-01,-0.34842520565025265,-0.09246721299232374,0.26114461563874425,1.7358081777282286
4088,SCD,2006-04-01,-0.5805467060224224,-0.09246720168789034,-0.2736322002547727,-1.6719479478044534
4089,SCD,2007-04-01,-0.580518483810065,-0.09246719583380875,-0.29731851490255234,-1.6548123097284473
4090,SCD,2007-07-01,-0.5805187123706108,-0.09246720976248562,-0.29731851490255234,-1.6548123097284473
4091,SCD,2007-10-01,-0.5805165302993209,-0.09246718440825642,-0.29731851490255234,-1.6548123097284473
4092,SCD,2008-01-01,-0.5805229280344295,-0.0924671847716132,-0.2763826367379076,-1.5963714440538304
4093,SCD,2008-04-01,-0.5805220825481919,-0.09246720746122597,-0.2763826367379076,-1.5963714440538304
4094,SCD,2008-07-01,-0.5805395270754187,-0.09246720633078262,-0.2763826367379076,-1.5963714440538304
4095,SCD,2009-01-01,-0.5805980215279045,-0.09246719389590588,-0.2735364779067313,-1.511496178695906
4096,SCD,2009-04-01,-0.580591115201221,-0.09246720051707402,-0.2735364779067313,-1.511496178695906
4097,SCD,2009-07-01,-0.5805776205466368,-0.09246720923763693,-0.2735364779067313,-1.511496178695906
4098,SCD,2009-10-01,-0.5805685957521953,-0.09246712263760246,-0.2735364779067313,-1.511496178695906
4099,SCD,2010-01-01,-0.580561563942528,-0.09246719518784113,-0.2818270140916891,-1.4870733967686283
4100,SCD,2010-04-01,-0.5805604789799789,-0.0924671957530628,-0.2818270140916891,-1.4870733967686283
